#Title: The Distribution of Thermal Pressures in the Diffuse, Cold Neutral
#       Medium of our Galaxy. II. An Expanded Survey of Interstellar C I
#       Fine-Structure Excitations
#Authors: Jenkins E.B., Tripp T.M.
#Table: Observed and Calculated Quantities in Specific Velocity Channels
#================================================================================
#Byte-by-byte Description of file: apj390295t4_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units    Label     Explanations
#--------------------------------------------------------------------------------
#   1- 11 A11    ---      Name      Target star name
#  13- 17 F5.1   km/s     RVel      Radial Velocity
#  19- 24 F6.3   ---      f1        f1
#  26- 30 F5.3   ---    e_f1        The 1{sigma} error in f1
#  32- 37 F6.3   ---      f2        f2
#  39- 43 F5.3   ---    e_f2        The 1{sigma} error in f2
#  45- 53 E9.2   cm-2     N(CIt)    Column density of C I in all 3 levels
#  55- 63 E9.2   cm-2     N(CII)    ? Inferred column density of C II
#  65- 69 F5.3   ---      g(low)    ? Fraction of C I at low pressure
#  71- 74 F4.2   [cm-3.K] log(p/k)  ? log(p/k) of the low pressure
#                                    fraction
#  76- 80 F5.2   [-]      log(I/I0) ? Log starlight intensity relative
#                                    to standard
Name,Vel,f1,e_f1,f2,e_f2,N(CIt),N(CII),g(low),log(p/k),log(I/I0)
HD103779,4.0,0.053,0.024,0.018,0.020,6.30e+012,1.78e+016,0.977,2.69,0.25
HD103779,4.5,0.088,0.022,0.015,0.020,6.40e+012,5.70e+015,0.997,3.17,0.07
HD103779,5.0,0.101,0.020,0.044,0.018,7.03e+012,3.92e+015,0.935,3.16,-0.08
HD103779,5.5,0.057,0.022,0.025,0.019,6.75e+012,1.26e+016,0.964,2.76,0.12
HD103779,6.0,0.078,0.022,0.028,0.019,6.51e+012,2.16e+016,0.963,2.87,0.42
HD103779,6.5,0.112,0.020,0.031,0.018,7.23e+012,1.81e+016,0.968,3.17,0.48
HD103779,7.0,0.096,0.017,0.022,0.015,8.36e+012,2.27e+016,0.982,3.09,0.46
HD103779,7.5,0.100,0.014,0.021,0.013,1.01e+013,3.15e+016,0.988,3.10,0.52
HD103779,8.0,0.122,0.014,0.013,0.013,1.01e+013,2.77e+016,1.000,3.29,0.57
HD103779,8.5,0.122,0.016,0.013,0.015,8.71e+012,1.89e+016,1.000,3.31,0.50
HD103779,9.0,0.118,0.019,0.032,0.016,7.66e+012,1.01e+016,0.971,3.27,0.30
HD103779,9.5,0.164,0.020,0.028,0.019,6.78e+012,9.98e+015,1.000,3.50,0.49
HD103779,10.0,0.188,0.023,-0.003,0.022,5.88e+012,7.60e+015,1.000,3.64,0.52
HD103779,10.5,0.195,0.029,0.001,0.029,4.53e+012,3.90e+015,1.000,3.68,0.42
HD104705,-25.5,0.155,0.028,0.058,0.023,2.34e+012,8.10e+015,0.926,3.31,0.69
HD104705,-25.0,0.155,0.022,0.056,0.017,3.08e+012,7.08e+015,0.933,3.37,0.56
HD104705,-24.5,0.153,0.017,0.053,0.013,4.00e+012,3.97e+015,0.938,3.43,0.29
HD104705,-24.0,0.157,0.013,0.051,0.011,5.13e+012,3.97e+015,0.946,3.46,0.22
HD104705,-23.5,0.177,0.011,0.050,0.009,5.95e+012,3.95e+015,0.957,3.56,0.24
HD104705,-23.0,0.200,0.011,0.050,0.009,6.08e+012,3.97e+015,0.973,3.65,0.30
HD104705,-22.5,0.223,0.012,0.052,0.010,5.29e+012,3.98e+015,0.980,3.72,0.41
HD104705,-22.0,0.237,0.016,0.055,0.013,4.03e+012,3.97e+015,0.983,3.76,0.53
HD104705,-21.5,0.221,0.021,0.053,0.018,2.95e+012,6.05e+015,0.976,3.66,0.71
HD104705,-21.0,0.178,0.029,0.052,0.024,2.18e+012,5.97e+015,0.952,3.47,0.69
HD104705,-16.5,0.086,0.029,0.026,0.023,2.39e+012,3.97e+015,0.973,3.08,0.23
HD104705,-16.0,0.109,0.022,0.021,0.018,3.07e+012,3.95e+015,0.990,3.27,0.25
HD104705,-15.5,0.122,0.018,0.020,0.015,3.68e+012,7.64e+015,1.000,3.31,0.46
HD104705,-15.0,0.127,0.017,0.019,0.014,3.94e+012,9.47e+015,1.000,3.32,0.52
HD104705,-14.5,0.128,0.018,0.017,0.015,3.71e+012,8.85e+015,1.000,3.33,0.52
HD104705,-14.0,0.126,0.021,0.011,0.018,3.10e+012,7.38e+015,1.000,3.35,0.53
HD104705,-13.5,0.115,0.028,-0.002,0.023,2.40e+012,7.46e+015,1.000,3.29,0.59
HD104705,2.5,0.142,0.025,0.032,0.020,2.60e+012,3.97e+015,0.979,3.40,0.41
HD104705,3.0,0.157,0.018,0.041,0.015,3.55e+012,3.97e+015,0.970,3.47,0.35
HD104705,3.5,0.175,0.013,0.044,0.010,5.04e+012,7.29e+015,0.972,3.53,0.49
HD104705,4.0,0.183,0.010,0.045,0.008,6.43e+012,9.91e+015,0.972,3.55,0.52
HD104705,4.5,0.178,0.009,0.044,0.007,7.26e+012,1.23e+016,0.974,3.53,0.54
HD104705,5.0,0.162,0.009,0.042,0.007,7.48e+012,1.47e+016,0.968,3.45,0.54
HD104705,5.5,0.144,0.009,0.038,0.007,7.64e+012,1.70e+016,0.968,3.36,0.53
HD104705,6.0,0.131,0.008,0.035,0.006,8.40e+012,2.11e+016,0.969,3.29,0.53
HD104705,6.5,0.130,0.007,0.035,0.005,1.01e+013,2.71e+016,0.970,3.28,0.55
HD104705,7.0,0.140,0.005,0.037,0.004,1.27e+013,3.24e+016,0.970,3.33,0.56
HD104705,7.5,0.152,0.005,0.037,0.003,1.56e+013,3.65e+016,0.974,3.40,0.58
HD104705,8.0,0.164,0.005,0.035,0.003,1.81e+013,3.84e+016,0.985,3.47,0.58
HD104705,8.5,0.173,0.005,0.033,0.003,1.95e+013,3.77e+016,0.994,3.52,0.58
HD104705,9.0,0.180,0.005,0.031,0.003,1.93e+013,3.45e+016,1.000,3.56,0.58
HD104705,9.5,0.185,0.005,0.032,0.003,1.83e+013,3.03e+016,1.000,3.58,0.56
HD104705,10.0,0.187,0.005,0.033,0.003,1.67e+013,2.47e+016,1.000,3.59,0.53
HD104705,10.5,0.191,0.005,0.037,0.004,1.41e+013,1.88e+016,0.992,3.60,0.50
HD104705,11.0,0.196,0.006,0.044,0.005,1.09e+013,1.37e+016,0.981,3.61,0.50
HD104705,11.5,0.197,0.008,0.049,0.006,7.97e+012,1.00e+016,0.969,3.61,0.50
HD104705,12.0,0.208,0.012,0.054,0.010,5.19e+012,7.31e+015,0.968,3.64,0.56
HD104705,12.5,0.199,0.018,0.045,0.015,3.49e+012,3.97e+015,0.984,3.63,0.47
HD104705,13.0,0.197,0.028,0.026,0.023,2.26e+012,3.97e+015,1.000,3.63,0.61
HD106343,2.0,0.158,0.027,0.011,0.025,4.24e+012,3.97e+015,1.000,3.51,0.36
HD106343,2.5,0.114,0.027,0.011,0.024,4.42e+012,3.97e+015,1.000,3.32,0.21
HD106343,3.0,0.086,0.027,-0.010,0.024,4.55e+012,3.97e+015,1.000,3.24,0.12
HD106343,3.5,0.114,0.024,-0.002,0.021,5.05e+012,1.23e+016,1.000,3.28,0.54
HD106343,4.0,0.132,0.021,0.019,0.018,5.95e+012,2.60e+016,1.000,3.22,0.75
HD106343,4.5,0.104,0.016,0.027,0.013,7.70e+012,2.46e+016,0.974,3.08,0.55
HD106343,5.0,0.091,0.013,0.013,0.011,9.77e+012,2.39e+016,1.000,3.10,0.44
HD106343,5.5,0.106,0.011,0.021,0.009,1.21e+013,2.85e+016,0.988,3.16,0.47
HD106343,6.0,0.118,0.009,0.028,0.007,1.50e+013,2.68e+016,0.977,3.24,0.42
HD106343,6.5,0.111,0.009,0.022,0.006,1.78e+013,2.54e+016,0.990,3.24,0.33
HD106343,7.0,0.116,0.008,0.035,0.005,2.30e+013,3.62e+016,0.962,3.22,0.37
HD106343,7.5,0.124,0.006,0.039,0.004,3.26e+013,4.43e+016,0.956,3.26,0.34
HD106343,8.0,0.148,0.006,0.040,0.003,4.13e+013,3.75e+016,0.965,3.41,0.30
HD106343,8.5,0.194,0.007,0.058,0.003,3.89e+013,3.81e+016,0.944,3.56,0.44
HD106343,9.0,0.206,0.008,0.062,0.004,3.45e+013,3.10e+016,0.942,3.61,0.45
HD106343,9.5,0.223,0.009,0.060,0.005,2.45e+013,2.57e+016,0.958,3.67,0.55
HD106343,10.0,0.221,0.009,0.063,0.006,1.67e+013,2.02e+016,0.950,3.65,0.59
HD106343,10.5,0.213,0.011,0.067,0.009,1.20e+013,1.15e+016,0.931,3.62,0.49
HD106343,11.0,0.190,0.013,0.067,0.010,9.79e+012,7.66e+015,0.919,3.54,0.36
HD106343,11.5,0.189,0.013,0.056,0.011,9.18e+012,3.97e+015,0.947,3.58,0.18
HD106343,12.0,0.234,0.011,0.050,0.010,1.05e+013,3.97e+015,0.989,3.75,0.27
