#Title: The Distribution of Thermal Pressures in the Diffuse, Cold Neutral
#       Medium of our Galaxy. II. An Expanded Survey of Interstellar C I
#       Fine-Structure Excitations
#Authors: Jenkins E.B., Tripp T.M.
#Table: Observed and Calculated Quantities in Specific Velocity Channels
#================================================================================
#Byte-by-byte Description of file: apj390295t4_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units    Label     Explanations
#--------------------------------------------------------------------------------
#   1- 11 A11    ---      Name      Target star name
#  13- 17 F5.1   km/s     RVel      Radial Velocity
#  19- 24 F6.3   ---      f1        f1
#  26- 30 F5.3   ---    e_f1        The 1{sigma} error in f1
#  32- 37 F6.3   ---      f2        f2
#  39- 43 F5.3   ---    e_f2        The 1{sigma} error in f2
#  45- 53 E9.2   cm-2     N(CIt)    Column density of C I in all 3 levels
#  55- 63 E9.2   cm-2     N(CII)    ? Inferred column density of C II
#  65- 69 F5.3   ---      g(low)    ? Fraction of C I at low pressure
#  71- 74 F4.2   [cm-3.K] log(p/k)  ? log(p/k) of the low pressure
#                                    fraction
#  76- 80 F5.2   [-]      log(I/I0) ? Log starlight intensity relative
#                                    to standard
Name,Vel,f1,e_f1,f2,e_f2,N(CIt),N(CII),g(low),log(p/k),log(I/I0)
HD108002,10.0,0.185,0.009,0.058,0.005,3.39e+013,2.08e+016,0.941,3.54,0.29
HD108002,12.0,0.258,0.015,0.083,0.014,9.53e+012,3.97e+015,0.924,3.78,0.36
HD108002,12.5,0.242,0.023,0.078,0.021,6.18e+012,3.97e+015,0.926,3.72,0.45
HD108639,-23.5,0.298,0.021,0.054,0.022,4.10e+012,2.49e+016,1.000,3.80,1.21
HD108639,-23.0,0.290,0.016,0.048,0.016,5.57e+012,2.82e+016,1.000,3.80,1.14
HD108639,-22.5,0.274,0.013,0.048,0.013,6.97e+012,2.87e+016,1.000,3.78,1.05
HD108639,-22.0,0.253,0.011,0.051,0.011,8.00e+012,2.80e+016,1.000,3.72,0.96
HD108639,-21.5,0.232,0.011,0.059,0.010,8.34e+012,2.89e+016,0.965,3.63,0.90
HD108639,-21.0,0.218,0.012,0.062,0.011,7.87e+012,3.26e+016,0.950,3.55,0.92
HD108639,-20.5,0.201,0.013,0.063,0.012,7.37e+012,3.66e+016,0.937,3.45,0.94
HD108639,-20.0,0.186,0.013,0.058,0.012,7.12e+012,3.75e+016,0.943,3.38,0.92
HD108639,-19.5,0.184,0.013,0.054,0.012,6.97e+012,3.49e+016,0.953,3.39,0.90
HD108639,-19.0,0.188,0.014,0.053,0.013,6.68e+012,3.08e+016,0.958,3.43,0.89
HD108639,-18.5,0.187,0.015,0.056,0.014,6.14e+012,2.66e+016,0.947,3.42,0.86
HD108639,-18.0,0.157,0.017,0.057,0.016,5.39e+012,2.31e+016,0.929,3.27,0.77
HD108639,-17.5,0.108,0.021,0.046,0.019,4.57e+012,2.05e+016,0.936,2.98,0.62
HD108639,-17.0,0.076,0.024,0.023,0.022,4.00e+012,1.88e+016,0.975,2.81,0.53
HD108639,-16.5,0.084,0.024,0.001,0.023,3.94e+012,1.79e+016,1.000,3.02,0.61
HD108639,-16.0,0.108,0.023,0.001,0.022,4.10e+012,1.69e+016,1.000,3.19,0.66
HD108639,-15.5,0.119,0.021,0.014,0.021,4.26e+012,1.55e+016,1.000,3.23,0.65
HD108639,-15.0,0.107,0.022,0.033,0.021,4.24e+012,1.38e+016,0.963,3.10,0.54
HD108639,-14.5,0.098,0.023,0.037,0.022,4.02e+012,1.12e+016,0.950,3.04,0.45
HD108639,-14.0,0.095,0.025,0.028,0.024,3.65e+012,9.84e+015,0.971,3.07,0.44
HD108639,-13.5,0.091,0.029,0.019,0.028,3.20e+012,1.16e+016,0.988,3.02,0.53
HD108639,2.0,0.049,0.027,0.014,0.024,3.56e+012,1.23e+016,0.987,2.64,0.30
HD108639,2.5,0.075,0.021,0.027,0.019,4.39e+012,1.51e+016,0.964,2.84,0.41
HD108639,3.0,0.104,0.017,0.035,0.016,5.27e+012,1.64e+016,0.955,3.07,0.51
HD108639,3.5,0.118,0.015,0.041,0.014,6.09e+012,1.73e+016,0.951,3.17,0.53
HD108639,4.0,0.138,0.012,0.047,0.012,7.17e+012,1.79e+016,0.945,3.28,0.55
HD108639,4.5,0.166,0.010,0.052,0.009,8.81e+012,1.88e+016,0.947,3.43,0.59
HD108639,5.0,0.193,0.008,0.060,0.007,1.14e+013,2.10e+016,0.941,3.54,0.61
HD108639,5.5,0.216,0.007,0.068,0.006,1.50e+013,2.27e+016,0.936,3.63,0.61
HD108639,6.0,0.231,0.006,0.070,0.005,1.87e+013,2.35e+016,0.940,3.69,0.59
HD108639,6.5,0.237,0.006,0.067,0.004,2.13e+013,2.19e+016,0.950,3.73,0.55
HD108639,7.0,0.231,0.007,0.061,0.004,2.13e+013,2.12e+016,0.962,3.72,0.53
HD108639,7.5,0.218,0.007,0.055,0.005,1.91e+013,2.19e+016,0.966,3.67,0.53
HD108639,8.0,0.197,0.007,0.049,0.005,1.66e+013,2.34e+016,0.969,3.59,0.54
HD108639,8.5,0.175,0.007,0.042,0.006,1.48e+013,2.30e+016,0.973,3.51,0.52
HD108639,9.0,0.159,0.007,0.037,0.006,1.29e+013,2.02e+016,0.979,3.46,0.48
HD108639,9.5,0.155,0.009,0.038,0.008,1.07e+013,1.72e+016,0.974,3.43,0.47
HD108639,10.0,0.155,0.011,0.041,0.010,8.48e+012,1.42e+016,0.964,3.42,0.48
HD108639,10.5,0.150,0.014,0.045,0.013,6.40e+012,1.21e+016,0.955,3.38,0.50
HD108639,11.0,0.133,0.019,0.045,0.017,4.75e+012,9.91e+015,0.949,3.28,0.48
HD108639,11.5,0.116,0.027,0.041,0.024,3.37e+012,7.60e+015,0.948,3.18,0.44
HD109399,7.0,0.252,0.029,0.093,0.022,4.77e+012,3.13e+016,0.897,3.52,1.15
HD109399,7.5,0.273,0.020,0.073,0.016,6.94e+012,1.39e+016,0.961,3.79,0.87
HD109399,8.0,0.277,0.015,0.073,0.011,9.64e+012,2.54e+016,0.962,3.78,0.95
HD109399,8.5,0.254,0.014,0.079,0.010,1.12e+013,1.60e+016,0.936,3.74,0.72
HD109399,9.0,0.255,0.012,0.082,0.008,1.44e+013,3.97e+015,0.924,3.79,0.22
HD109399,10.5,0.250,0.009,0.059,0.004,3.78e+013,3.48e+016,0.979,3.77,0.58
HD109399,11.0,0.253,0.010,0.054,0.004,3.57e+013,4.08e+016,0.991,3.77,0.65
HD109399,11.5,0.247,0.012,0.056,0.005,2.88e+013,3.29e+016,0.982,3.75,0.63
HD109399,12.0,0.220,0.010,0.053,0.005,2.44e+013,3.01e+016,0.973,3.66,0.59
HD109399,12.5,0.197,0.011,0.048,0.006,1.85e+013,2.19e+016,0.971,3.59,0.53
HD109399,13.0,0.174,0.012,0.047,0.008,1.42e+013,1.94e+016,0.961,3.49,0.50
HD109399,13.5,0.172,0.013,0.059,0.009,1.18e+013,1.97e+016,0.931,3.43,0.54
HD109399,14.0,0.174,0.016,0.057,0.012,9.17e+012,7.80e+015,0.935,3.49,0.34
HD109399,14.5,0.204,0.024,0.043,0.018,5.94e+012,3.97e+015,0.988,3.64,0.36
HD111934,-22.0,0.359,0.027,0.119,0.023,6.22e+012,3.97e+015,0.931,4.09,0.75
HD111934,-21.5,0.377,0.025,0.130,0.020,6.83e+012,7.10e+015,0.926,4.13,0.94
HD111934,-21.0,0.387,0.024,0.113,0.020,6.97e+012,8.09e+015,0.987,4.17,0.99
HD111934,-20.5,0.389,0.026,0.077,0.022,6.54e+012,6.77e+015,1.000,4.18,0.94
HD111934,-20.0,0.376,0.030,0.034,0.026,5.69e+012,3.97e+015,1.000,4.15,0.76
HD111934,-18.5,0.240,0.028,0.049,0.022,6.65e+012,1.00e+016,0.995,3.72,0.70
HD111934,-18.0,0.222,0.023,0.055,0.017,8.22e+012,1.20e+016,0.967,3.65,0.64
HD111934,-17.5,0.215,0.020,0.044,0.015,9.75e+012,1.22e+016,0.990,3.65,0.58
HD111934,-17.0,0.221,0.018,0.032,0.013,1.13e+013,1.32e+016,1.000,3.69,0.58
HD111934,-16.5,0.216,0.016,0.027,0.011,1.39e+013,1.66e+016,1.000,3.68,0.58
HD111934,-16.0,0.212,0.015,0.032,0.009,1.68e+013,2.16e+016,1.000,3.66,0.59
HD111934,-15.5,0.220,0.016,0.042,0.008,1.84e+013,2.54e+016,0.999,3.67,0.63
HD111934,-15.0,0.228,0.016,0.051,0.008,1.92e+013,2.79e+016,0.984,3.68,0.66
HD111934,-14.5,0.246,0.017,0.059,0.008,1.83e+013,2.78e+016,0.977,3.73,0.72
HD111934,-14.0,0.266,0.019,0.063,0.009,1.65e+013,2.50e+016,0.977,3.79,0.76
HD111934,-13.5,0.267,0.021,0.061,0.010,1.51e+013,2.05e+016,0.986,3.80,0.73
HD111934,-13.0,0.245,0.020,0.049,0.010,1.48e+013,1.55e+016,0.998,3.75,0.60
HD111934,-12.5,0.216,0.018,0.043,0.010,1.51e+013,1.11e+016,0.995,3.68,0.42
HD111934,-12.0,0.203,0.018,0.040,0.010,1.49e+013,8.70e+015,0.994,3.65,0.32
HD111934,-11.5,0.200,0.018,0.035,0.010,1.39e+013,9.94e+015,1.000,3.64,0.38
HD111934,-11.0,0.191,0.018,0.027,0.011,1.32e+013,1.42e+016,1.000,3.60,0.48
HD111934,-10.5,0.169,0.017,0.024,0.011,1.29e+013,1.79e+016,1.000,3.51,0.50
HD111934,-10.0,0.154,0.016,0.028,0.011,1.23e+013,1.88e+016,0.995,3.43,0.49
HD111934,-9.5,0.149,0.017,0.031,0.012,1.17e+013,1.70e+016,0.986,3.41,0.46
HD111934,-9.0,0.155,0.017,0.033,0.013,1.10e+013,1.43e+016,0.986,3.44,0.44
HD111934,-8.5,0.166,0.019,0.037,0.015,9.55e+012,1.14e+016,0.980,3.48,0.44
HD111934,-8.0,0.170,0.023,0.044,0.018,7.87e+012,8.49e+015,0.966,3.49,0.42
HD111934,3.0,0.249,0.023,0.078,0.018,7.27e+012,1.02e+016,0.932,3.72,0.70
HD111934,3.5,0.263,0.018,0.086,0.014,9.24e+012,1.33e+016,0.923,3.76,0.74
HD111934,8.0,0.240,0.028,0.073,0.022,6.00e+012,2.74e+016,0.936,3.58,1.03
HD112999,-3.0,0.417,0.027,0.271,0.026,4.56e+012,1.28e+015,0.655,4.42,0.82
HD112999,-2.5,0.420,0.024,0.246,0.023,5.24e+012,1.45e+015,0.722,4.41,0.78
HD112999,-2.0,0.416,0.024,0.231,0.023,5.15e+012,1.63e+015,0.755,4.38,0.78
HD112999,-1.5,0.416,0.027,0.216,0.026,4.60e+012,6.02e+015,0.785,4.33,1.15
HD112999,1.5,0.245,0.030,0.030,0.029,4.62e+012,1.04e+016,1.000,3.78,0.78
HD112999,2.0,0.238,0.023,0.047,0.022,6.09e+012,1.32e+016,1.000,3.74,0.76
HD112999,2.5,0.227,0.018,0.054,0.017,7.89e+012,1.52e+016,0.977,3.70,0.69
HD112999,3.0,0.205,0.015,0.051,0.013,1.03e+013,1.52e+016,0.971,3.64,0.56
HD112999,3.5,0.185,0.013,0.046,0.011,1.21e+013,1.44e+016,0.972,3.58,0.44
HD112999,4.0,0.174,0.013,0.043,0.011,1.23e+013,1.57e+016,0.973,3.54,0.43
HD112999,4.5,0.164,0.014,0.038,0.011,1.19e+013,1.95e+016,0.980,3.50,0.49
HD112999,5.0,0.161,0.014,0.037,0.011,1.21e+013,2.40e+016,0.982,3.47,0.54
HD112999,5.5,0.168,0.014,0.038,0.010,1.34e+013,2.78e+016,0.981,3.49,0.57
HD112999,6.0,0.174,0.012,0.039,0.008,1.62e+013,3.10e+016,0.982,3.52,0.56
HD112999,6.5,0.171,0.011,0.038,0.007,2.01e+013,3.53e+016,0.984,3.52,0.53
HD112999,7.0,0.164,0.009,0.034,0.006,2.42e+013,4.03e+016,0.986,3.50,0.49
HD112999,7.5,0.159,0.009,0.033,0.005,2.67e+013,4.31e+016,0.990,3.49,0.47
HD112999,8.0,0.161,0.008,0.033,0.005,2.65e+013,3.96e+016,0.993,3.50,0.45
HD112999,8.5,0.173,0.009,0.034,0.006,2.27e+013,3.07e+016,0.992,3.55,0.45
HD112999,9.0,0.187,0.010,0.035,0.008,1.74e+013,2.13e+016,0.999,3.61,0.46
HD112999,9.5,0.191,0.013,0.036,0.010,1.25e+013,1.33e+016,1.000,3.63,0.42
HD112999,10.0,0.183,0.017,0.036,0.015,8.70e+012,6.93e+015,0.997,3.61,0.31
HD112999,10.5,0.168,0.024,0.039,0.021,6.10e+012,3.97e+015,0.980,3.55,0.20
HD114886,-27.0,0.219,0.020,0.053,0.030,7.39e+012,3.91e+015,0.978,3.72,0.29
HD114886,-26.5,0.185,0.020,0.067,0.028,7.64e+012,4.01e+015,0.919,3.56,0.17
HD114886,-26.0,0.146,0.020,0.088,0.028,7.51e+012,3.97e+015,0.855,3.31,0.01
HD114886,-25.5,0.119,0.021,0.097,0.028,7.58e+012,3.97e+015,0.822,3.04,-0.18
HD114886,-25.0,0.132,0.019,0.092,0.026,8.18e+012,3.97e+015,0.837,3.19,-0.10
HD114886,-24.5,0.184,0.016,0.081,0.022,9.79e+012,3.98e+015,0.890,3.54,0.08
HD114886,-24.0,0.224,0.014,0.074,0.018,1.21e+013,3.98e+015,0.930,3.72,0.15
HD114886,-23.5,0.227,0.012,0.071,0.016,1.36e+013,5.71e+015,0.933,3.72,0.23
HD114886,-23.0,0.209,0.013,0.067,0.016,1.36e+013,8.03e+015,0.935,3.66,0.29
HD114886,-22.5,0.202,0.013,0.066,0.016,1.36e+013,1.15e+016,0.935,3.62,0.38
HD114886,-22.0,0.221,0.012,0.073,0.014,1.56e+013,1.45e+016,0.931,3.68,0.46
HD114886,-21.5,0.239,0.010,0.086,0.011,2.01e+013,1.56e+016,0.908,3.73,0.45
HD114886,-21.0,0.246,0.009,0.090,0.008,2.64e+013,1.57e+016,0.902,3.76,0.39
HD114886,-20.5,0.255,0.009,0.090,0.007,3.08e+013,1.61e+016,0.912,3.80,0.37
HD114886,-20.0,0.260,0.009,0.087,0.007,3.21e+013,1.70e+016,0.924,3.82,0.39
HD114886,-19.5,0.257,0.009,0.083,0.007,3.15e+013,1.77e+016,0.929,3.81,0.40
HD114886,-19.0,0.250,0.009,0.081,0.007,3.00e+013,1.75e+016,0.926,3.78,0.38
HD114886,-18.5,0.245,0.009,0.080,0.008,2.78e+013,1.53e+016,0.928,3.77,0.36
HD114886,-18.0,0.245,0.009,0.078,0.009,2.39e+013,1.23e+016,0.934,3.78,0.35
HD114886,-17.5,0.246,0.009,0.075,0.011,1.91e+013,8.56e+015,0.941,3.79,0.31
HD114886,-17.0,0.234,0.011,0.067,0.014,1.56e+013,6.07e+015,0.951,3.76,0.24
HD114886,-16.5,0.216,0.012,0.061,0.016,1.32e+013,7.27e+015,0.953,3.69,0.29
HD114886,-16.0,0.212,0.013,0.056,0.019,1.17e+013,1.11e+016,0.965,3.67,0.45
HD114886,-15.5,0.210,0.014,0.052,0.021,1.02e+013,1.36e+016,0.970,3.65,0.55
HD114886,-15.0,0.204,0.016,0.043,0.026,8.55e+012,1.16e+016,0.988,3.64,0.54
HD114886,-0.5,0.188,0.011,0.054,0.017,1.25e+013,1.09e+016,0.953,3.58,0.35
HD114886,0.0,0.170,0.010,0.052,0.013,1.62e+013,1.00e+016,0.949,3.52,0.19
HD114886,0.5,0.166,0.009,0.050,0.011,2.07e+013,1.24e+016,0.950,3.51,0.17
HD114886,1.0,0.172,0.008,0.050,0.008,2.69e+013,1.78e+016,0.956,3.54,0.23
HD114886,1.5,0.191,0.007,0.054,0.007,3.41e+013,2.35e+016,0.953,3.60,0.29
HD114886,2.0,0.206,0.006,0.058,0.005,4.14e+013,2.75e+016,0.958,3.66,0.32
HD114886,2.5,0.210,0.006,0.057,0.005,4.56e+013,3.03e+016,0.961,3.67,0.33
HD114886,3.0,0.203,0.006,0.053,0.005,4.29e+013,3.25e+016,0.966,3.65,0.36
HD114886,3.5,0.191,0.007,0.048,0.006,3.66e+013,3.48e+016,0.968,3.60,0.39
HD114886,4.0,0.179,0.007,0.042,0.007,3.14e+013,3.66e+016,0.977,3.56,0.43
HD114886,4.5,0.168,0.007,0.037,0.008,2.92e+013,3.65e+016,0.984,3.52,0.42
HD114886,5.0,0.157,0.007,0.033,0.008,2.84e+013,3.53e+016,0.987,3.48,0.39
HD114886,5.5,0.153,0.007,0.032,0.008,2.76e+013,3.42e+016,0.990,3.47,0.38
HD114886,6.0,0.154,0.007,0.032,0.008,2.61e+013,3.34e+016,0.989,3.47,0.39
HD114886,6.5,0.160,0.008,0.032,0.009,2.37e+013,3.18e+016,0.991,3.49,0.42
HD114886,7.0,0.173,0.009,0.034,0.011,2.01e+013,2.82e+016,0.992,3.54,0.48
HD114886,7.5,0.189,0.009,0.038,0.013,1.63e+013,2.39e+016,0.991,3.59,0.53
HD114886,8.0,0.207,0.012,0.048,0.018,1.21e+013,2.13e+016,0.980,3.63,0.63
HD114886,8.5,0.211,0.016,0.056,0.025,8.68e+012,2.19e+016,0.962,3.60,0.74
HD115071,-20.5,0.102,0.022,0.037,0.016,6.84e+012,1.60e+016,0.950,3.04,0.46
HD115071,-20.0,0.136,0.017,0.042,0.012,8.94e+012,1.91e+016,0.953,3.25,0.56
HD115071,-19.5,0.156,0.013,0.039,0.009,1.17e+013,2.46e+016,0.971,3.36,0.62
HD115071,-19.0,0.175,0.010,0.038,0.007,1.46e+013,3.09e+016,0.984,3.45,0.68
HD115071,-18.5,0.208,0.010,0.044,0.007,1.65e+013,3.75e+016,0.986,3.56,0.78
HD115071,-18.0,0.227,0.010,0.052,0.006,1.91e+013,4.18e+016,0.977,3.62,0.82
HD115071,-17.5,0.233,0.009,0.062,0.005,2.23e+013,4.42e+016,0.956,3.63,0.80
HD115071,-17.0,0.238,0.008,0.073,0.005,2.50e+013,4.42e+016,0.934,3.65,0.78
HD115071,-16.5,0.254,0.008,0.082,0.004,2.74e+013,4.20e+016,0.920,3.70,0.77
HD115071,-16.0,0.274,0.008,0.090,0.004,2.86e+013,3.83e+016,0.916,3.77,0.78
HD115071,-15.5,0.285,0.008,0.094,0.004,2.78e+013,3.37e+016,0.915,3.81,0.78
HD115071,-15.0,0.281,0.009,0.090,0.005,2.45e+013,2.93e+016,0.921,3.80,0.77
HD115071,-14.5,0.272,0.008,0.081,0.006,1.97e+013,2.59e+016,0.940,3.78,0.78
HD115071,-14.0,0.264,0.010,0.068,0.007,1.57e+013,2.28e+016,0.963,3.76,0.79
HD115071,-13.5,0.264,0.011,0.057,0.009,1.24e+013,1.89e+016,0.986,3.76,0.79
HD115071,-13.0,0.265,0.014,0.050,0.011,9.70e+012,1.45e+016,1.000,3.78,0.80
HD115071,-12.5,0.268,0.018,0.041,0.014,7.22e+012,1.07e+016,1.000,3.79,0.79
HD115071,-12.0,0.264,0.025,0.029,0.020,5.15e+012,8.92e+015,1.000,3.78,0.83
HD115071,-1.5,0.172,0.028,0.086,0.020,5.02e+012,3.97e+015,0.868,3.39,0.32
HD115071,-1.0,0.230,0.023,0.116,0.017,5.95e+012,3.95e+015,0.825,3.60,0.44
HD115071,-0.5,0.290,0.017,0.131,0.013,7.62e+012,3.97e+015,0.830,3.83,0.55
HD115071,0.0,0.334,0.012,0.136,0.010,1.04e+013,8.60e+015,0.857,3.97,0.81
HD115071,0.5,0.347,0.009,0.131,0.007,1.55e+013,1.53e+016,0.882,4.01,0.90
HD115071,2.0,0.266,0.005,0.088,0.002,5.34e+013,4.51e+016,0.917,3.77,0.63
HD115071,2.5,0.248,0.005,0.080,0.002,6.51e+013,5.14e+016,0.924,3.72,0.56
HD115071,3.0,0.235,0.005,0.076,0.002,6.78e+013,5.44e+016,0.925,3.68,0.53
HD115071,3.5,0.220,0.005,0.073,0.002,6.31e+013,5.52e+016,0.924,3.62,0.51
HD115071,4.0,0.203,0.005,0.070,0.002,5.36e+013,5.53e+016,0.919,3.55,0.51
HD115071,4.5,0.191,0.005,0.066,0.003,4.25e+013,5.23e+016,0.925,3.50,0.54
HD115071,5.0,0.185,0.006,0.059,0.003,3.27e+013,4.87e+016,0.934,3.47,0.58
HD115071,5.5,0.185,0.007,0.054,0.004,2.39e+013,4.37e+016,0.946,3.47,0.65
HD115071,6.0,0.187,0.008,0.050,0.006,1.79e+013,3.74e+016,0.960,3.48,0.71
HD115071,6.5,0.186,0.010,0.044,0.007,1.40e+013,3.16e+016,0.972,3.47,0.72
HD115071,7.0,0.184,0.013,0.034,0.009,1.11e+013,2.52e+016,0.994,3.48,0.72
HD115071,7.5,0.184,0.016,0.022,0.012,8.71e+012,2.03e+016,1.000,3.50,0.74
HD115071,8.0,0.179,0.021,0.015,0.016,6.81e+012,1.72e+016,1.000,3.49,0.75
HD115071,8.5,0.172,0.027,0.017,0.021,5.14e+012,1.44e+016,1.000,3.45,0.77
HD115455,-24.0,0.174,0.022,0.053,0.028,9.71e+012,1.78e+016,0.947,3.45,0.58
HD115455,-23.5,0.186,0.022,0.055,0.027,9.96e+012,1.88e+016,0.948,3.50,0.63
HD115455,-23.0,0.224,0.020,0.059,0.024,1.10e+013,1.73e+016,0.957,3.65,0.67
HD115455,-22.5,0.251,0.017,0.057,0.021,1.29e+013,1.74e+016,0.985,3.76,0.69
HD115455,-22.0,0.256,0.015,0.052,0.018,1.53e+013,2.05e+016,1.000,3.78,0.70
HD115455,-21.5,0.245,0.014,0.045,0.016,1.66e+013,2.47e+016,1.000,3.75,0.71
HD115455,-21.0,0.230,0.015,0.040,0.018,1.53e+013,2.68e+016,1.000,3.69,0.72
HD115455,-20.5,0.210,0.017,0.039,0.021,1.32e+013,2.63e+016,1.000,3.62,0.71
HD115455,-20.0,0.173,0.019,0.039,0.023,1.18e+013,2.59e+016,0.980,3.46,0.64
HD115455,-19.5,0.132,0.020,0.032,0.024,1.14e+013,2.70e+016,0.978,3.28,0.55
HD115455,-19.0,0.111,0.019,0.020,0.024,1.16e+013,2.93e+016,0.992,3.19,0.51
HD115455,-18.5,0.114,0.019,0.010,0.023,1.19e+013,3.09e+016,1.000,3.24,0.55
HD115455,-18.0,0.124,0.019,0.006,0.024,1.14e+013,3.08e+016,1.000,3.30,0.59
HD115455,-17.5,0.126,0.021,0.011,0.027,1.03e+013,3.02e+016,1.000,3.29,0.63
HD115455,-0.5,0.287,0.023,0.119,0.029,8.42e+012,1.09e+016,0.861,3.82,0.77
HD115455,0.0,0.310,0.017,0.121,0.021,1.19e+013,1.36e+016,0.876,3.91,0.80
HD115455,0.5,0.321,0.013,0.119,0.015,1.67e+013,1.71e+016,0.888,3.95,0.79
HD115455,2.0,0.184,0.007,0.055,0.005,5.30e+013,4.30e+016,0.947,3.54,0.36
HD115455,2.5,0.162,0.007,0.050,0.005,5.15e+013,4.92e+016,0.946,3.45,0.34
HD115455,3.0,0.150,0.007,0.050,0.006,4.42e+013,5.06e+016,0.944,3.38,0.36
HD115455,3.5,0.137,0.008,0.049,0.007,3.90e+013,4.78e+016,0.938,3.31,0.34
HD115455,4.0,0.133,0.008,0.047,0.007,3.73e+013,4.25e+016,0.941,3.30,0.30
HD115455,4.5,0.134,0.008,0.042,0.007,3.61e+013,3.69e+016,0.952,3.33,0.28
HD115455,5.0,0.140,0.008,0.037,0.008,3.35e+013,3.28e+016,0.966,3.37,0.29
HD115455,5.5,0.144,0.009,0.035,0.009,2.88e+013,3.13e+016,0.974,3.39,0.33
HD115455,6.0,0.156,0.011,0.036,0.013,2.12e+013,2.83e+016,0.975,3.43,0.44
HD115455,6.5,0.174,0.015,0.040,0.018,1.51e+013,2.40e+016,0.977,3.49,0.55
HD115455,7.0,0.191,0.017,0.039,0.021,1.26e+013,1.84e+016,0.989,3.57,0.57
HD115455,7.5,0.207,0.018,0.043,0.022,1.20e+013,1.53e+016,0.989,3.63,0.57
HD115455,8.0,0.222,0.017,0.046,0.022,1.22e+013,1.45e+016,0.989,3.68,0.58
HD115455,8.5,0.235,0.018,0.042,0.022,1.18e+013,1.54e+016,1.000,3.72,0.64
HD115455,9.0,0.237,0.020,0.030,0.026,1.04e+013,1.57e+016,1.000,3.74,0.70
HD115455,9.5,0.231,0.023,0.025,0.030,9.07e+012,1.57e+016,1.000,3.71,0.72
HD116781,-22.0,0.168,0.028,0.029,0.025,5.57e+012,1.62e+016,1.000,3.43,0.73
HD116781,-14.0,0.154,0.027,0.061,0.024,5.46e+012,1.17e+016,0.917,3.32,0.57
HD116781,-13.5,0.197,0.026,-0.001,0.026,5.47e+012,1.10e+016,1.000,3.63,0.70
HD116781,-13.0,0.219,0.029,-0.024,0.028,4.84e+012,6.33e+015,1.000,3.74,0.62
HD116781,0.0,0.116,0.026,0.006,0.022,5.99e+012,5.84e+015,1.000,3.34,0.25
HD116781,0.5,0.131,0.020,0.017,0.017,7.46e+012,3.97e+015,1.000,3.41,0.09
HD116781,1.0,0.119,0.017,0.025,0.014,9.17e+012,8.31e+015,0.989,3.31,0.21
HD116781,1.5,0.110,0.014,0.032,0.011,1.11e+013,2.13e+016,0.966,3.17,0.41
HD116781,2.0,0.134,0.013,0.029,0.010,1.25e+013,1.84e+016,0.984,3.34,0.41
HD116781,2.5,0.138,0.013,0.030,0.009,1.51e+013,2.23e+016,0.982,3.36,0.43
HD116781,3.0,0.162,0.017,0.046,0.009,1.51e+013,2.05e+016,0.958,3.44,0.47
HD116781,3.5,0.153,0.015,0.048,0.008,1.78e+013,2.64e+016,0.948,3.38,0.46
HD116781,4.0,0.144,0.013,0.041,0.007,2.02e+013,4.17e+016,0.960,3.33,0.54
HD116781,4.5,0.156,0.013,0.041,0.007,2.00e+013,3.67e+016,0.968,3.40,0.54
HD116781,5.0,0.175,0.014,0.048,0.008,1.75e+013,3.81e+016,0.958,3.45,0.65
HD116781,5.5,0.193,0.014,0.051,0.009,1.44e+013,2.34e+016,0.961,3.54,0.60
HD116781,6.0,0.176,0.014,0.043,0.010,1.24e+013,6.94e+015,0.971,3.54,0.23
HD116781,6.5,0.166,0.014,0.038,0.011,1.16e+013,1.53e+016,0.975,3.47,0.47
HD116781,7.0,0.175,0.016,0.040,0.013,9.39e+012,1.09e+016,0.977,3.51,0.45
HD116781,7.5,0.186,0.020,0.038,0.017,7.31e+012,7.82e+015,0.990,3.57,0.47
HD116781,8.0,0.165,0.027,0.035,0.023,5.45e+012,1.13e+016,0.984,3.44,0.61
HD116852,1.5,0.272,0.026,0.069,0.019,3.12e+012,2.10e+015,0.966,3.81,0.58
HD116852,2.0,0.270,0.019,0.079,0.014,4.33e+012,2.35e+015,0.943,3.81,0.52
HD116852,2.5,0.265,0.015,0.087,0.010,5.82e+012,2.57e+015,0.915,3.78,0.43
HD116852,3.0,0.264,0.012,0.087,0.008,7.53e+012,2.75e+015,0.917,3.79,0.38
HD116852,3.5,0.273,0.011,0.082,0.007,8.90e+012,3.98e+015,0.939,3.82,0.46
HD116852,4.0,0.287,0.010,0.074,0.006,9.77e+012,3.97e+015,0.964,3.87,0.47
HD116852,4.5,0.293,0.010,0.069,0.006,9.76e+012,3.97e+015,0.981,3.89,0.48
HD116852,5.0,0.280,0.011,0.067,0.007,8.95e+012,5.66e+015,0.975,3.84,0.58
HD116852,5.5,0.243,0.012,0.065,0.008,7.81e+012,7.89e+015,0.954,3.70,0.62
HD116852,6.0,0.194,0.013,0.064,0.009,6.87e+012,1.10e+016,0.929,3.50,0.64
HD116852,6.5,0.162,0.015,0.063,0.009,6.32e+012,1.39e+016,0.914,3.31,0.63
HD116852,7.0,0.163,0.015,0.062,0.009,6.28e+012,1.44e+016,0.919,3.32,0.65
HD116852,7.5,0.184,0.014,0.063,0.009,6.67e+012,1.40e+016,0.929,3.43,0.69
