HD,E(B-V),E(15-33),E(33-V)
HD25443,0.61,1.85,1.22
HD124314,0.52,1.14,1.01
HD185418,0.50,1.11,0.99
HD203532,0.33,1.03,0.68
HD208947,0.19,0.52,0.37
HD210839,0.57,1.69,1.16
HD232522,0.25,1.21,0.49
